bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,waterfront_encoded,view_encoded,property_typ_apartment,property_typ_multi_generation_house,property_typ_semi_detached_house,property_typ_single_family_house,property_typ_top_floor_apartment
7,1.5,2670,11250,1.5,4,8.0,350,1948,0,0,0.0,1.0,0.0,0.0,0.0
0,0.0,1470,979,3.0,3,8.0,0,2006,0,2,0.0,0.0,0.0,0.0,1.0
5,1.5,2170,8610,1.0,4,7.0,940,1959,0,0,0.0,0.0,1.0,0.0,0.0
3,2.0,1990,3990,1.0,5,7.0,860,1912,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,2270,4182,1.0,4,7.0,1100,1946,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2150,3143,2.0,3,7.0,0,2010,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2056,3564,2.0,3,7.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,890,6380,1.0,3,6.0,0,1951,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,2080,5687,1.5,4,8.0,0,1924,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1050,5500,1.0,3,6.0,120,1920,0,0,0.0,0.0,1.0,0.0,0.0
2,1.0,910,5000,1.0,3,7.0,0,1924,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1300,1362,2.0,3,8.0,420,2008,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,1180,13650,1.0,4,7.0,0,1967,0,0,1.0,0.0,0.0,0.0,0.0
5,3.5,3400,9804,2.0,3,9.0,850,2008,0,0,0.0,0.0,0.0,1.0,0.0
3,2.5,2242,4800,2.0,3,8.0,0,2013,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2660,5043,2.0,3,9.0,0,2003,0,2,1.0,0.0,0.0,0.0,0.0
3,1.0,1360,73616,1.0,3,7.0,0,1971,0,0,1.0,0.0,0.0,0.0,0.0
2,3.0,1270,1175,2.0,3,8.0,160,2000,0,0,0.0,0.0,1.0,0.0,0.0
4,3.5,4700,13730,2.0,3,11.0,1200,1958,0,3,0.0,0.0,0.0,1.0,0.0
3,1.75,1100,9452,1.0,3,6.0,0,1942,0,0,1.0,0.0,0.0,0.0,0.0
4,1.5,2820,4000,2.0,3,7.0,0,1911,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1790,9860,1.0,4,7.0,380,1978,0,0,0.0,0.0,1.0,0.0,0.0
4,3.0,2770,2650,2.0,3,9.0,590,2014,0,0,0.0,0.0,0.0,1.0,0.0
2,1.0,1050,403365,1.0,5,6.0,0,1905,0,3,1.0,0.0,0.0,0.0,0.0
3,1.0,1580,4000,2.0,3,8.0,0,1905,0,0,1.0,0.0,0.0,0.0,0.0
4,2.25,2740,11343,1.0,5,10.0,760,1953,0,2,0.0,0.0,0.0,1.0,0.0
2,1.0,810,4080,1.0,4,6.0,0,1941,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1070,4505,1.0,4,7.0,0,1919,0,2,1.0,0.0,0.0,0.0,0.0
3,1.0,1070,10563,1.0,3,7.0,0,1969,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,3240,3600,2.0,3,9.0,1180,2008,0,0,0.0,0.0,0.0,1.0,0.0
3,1.75,1300,2580,1.0,5,7.0,480,1919,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,1400,8100,1.5,3,6.0,0,1944,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1860,13939,1.0,4,7.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
3,2.75,1720,6720,1.0,4,7.0,450,1947,0,0,0.0,0.0,1.0,0.0,0.0
5,2.0,1900,6000,1.5,4,7.60247802734375,0,1920,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,2290,7350,2.0,3,8.0,0,1988,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1250,7654,1.0,3,7.0,250,1952,0,0,0.0,0.0,1.0,0.0,0.0
2,1.5,1190,801,3.0,3,8.0,0,2010,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1750,3900,2.0,3,8.0,0,1977,0,0,1.0,0.0,0.0,0.0,0.0
4,2.0,1960,10559,2.0,4,7.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
5,3.75,3570,14648,2.0,3,9.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
2,1.5,1400,9031,1.0,3,7.0,440,1982,0,0,0.0,0.0,1.0,0.0,0.0
2,2.25,1530,981,3.0,3,8.0,50,2006,0,0,0.0,0.0,1.0,0.0,0.0
4,1.75,3050,9440,1.0,3,8.0,1250,1966,0,0,0.0,0.0,1.0,0.0,0.0
3,1.75,1770,7508,1.0,3,7.0,500,1962,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,1850,5880,2.0,3,8.0,0,1998,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1920,10961,2.0,3,8.0,0,1981,0,0,1.0,0.0,0.0,0.0,0.0
4,2.0,1730,5500,1.0,5,7.0,720,1943,0,0,0.0,0.0,1.0,0.0,0.0
4,2.25,1870,4198,2.0,3,7.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
3,1.5,1590,6750,1.0,3,7.0,510,1976,0,0,0.0,0.0,1.0,0.0,0.0
4,3.5,2780,3100,2.0,3,8.0,660,2014,0,0,0.0,0.0,1.0,0.0,0.0
2,1.0,820,6771,1.0,4,6.0,0,1918,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2230,5743,2.0,3,7.0,0,2002,0,0,1.0,0.0,0.0,0.0,0.0
4,3.0,5430,108900,2.0,4,10.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
3,2.75,2440,45738,2.0,3,8.0,600,1987,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2890,17349,2.0,3,8.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
4,1.75,1250,8840,1.0,4,7.0,340,1979,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,2220,9800,2.0,3,8.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2740,11872,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
2,1.5,980,1296,2.0,3,7.0,140,2001,0,0,0.0,0.0,1.0,0.0,0.0
4,1.75,1870,7575,1.0,3,7.0,390,1972,0,0,0.0,0.0,1.0,0.0,0.0
3,1.75,1240,7200,1.0,5,7.0,0,1942,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1160,10988,1.0,3,7.0,0,1965,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1830,7943,2.0,3,8.0,0,1985,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1520,9605,1.0,3,7.0,0,1975,0,0,1.0,0.0,0.0,0.0,0.0
3,3.5,1600,1431,2.0,3,8.0,360,2006,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,3000,5639,2.0,3,8.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
4,3.5,3930,5680,2.0,3,9.0,1110,2013,0,1,0.0,0.0,0.0,1.0,0.0
4,2.5,2630,28298,2.0,3,8.0,0,1996,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,1200,4880,1.0,3,6.0,220,1943,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,1912,5000,2.0,3,8.0,0,2012,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,1310,4000,1.0,3,6.0,0,1913,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1460,8800,1.0,4,7.0,0,1956,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1150,7486,1.0,3,7.0,0,1970,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1160,8774,1.0,3,7.0,0,1972,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2530,9932,2.0,3,8.0,0,1995,0,0,1.0,0.0,0.0,0.0,0.0
3,3.5,4490,56609,2.0,3,12.0,0,1993,1,4,1.0,0.0,0.0,0.0,0.0
3,2.5,2290,2798,3.0,4,9.0,0,1953,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1820,13362,1.0,3,8.0,600,1977,0,0,0.0,0.0,1.0,0.0,0.0
5,3.25,3030,7410,2.0,3,8.0,880,2014,0,0,0.0,0.0,1.0,0.0,0.0
3,1.75,1730,7807,1.0,3,7.0,470,1976,0,0,0.0,0.0,1.0,0.0,0.0
4,3.25,4190,10259,2.0,3,11.0,1040,2000,0,0,0.0,0.0,0.0,1.0,0.0
5,2.5,3150,9134,1.0,4,8.0,1510,1966,0,0,0.0,0.0,1.0,0.0,0.0
4,3.5,2990,4200,2.0,5,9.0,990,1925,0,4,0.0,0.0,0.0,1.0,0.0
3,2.0,1410,7998,1.0,4,7.0,0,1940,0,0,1.0,0.0,0.0,0.0,0.0
5,4.0,4420,36342,2.0,5,10.0,1680,1982,0,0,0.0,0.0,0.0,1.0,0.0
4,2.5,2830,14538,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
4,1.75,2180,9726,1.0,4,9.0,0,1966,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1440,2618,1.5,4,7.0,0,1906,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,1400,10800,1.0,4,7.0,0,1974,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,1400,7293,1.0,4,7.0,0,1963,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,1650,5027,1.5,3,7.0,0,2009,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1650,7965,1.0,4,7.0,0,1967,0,0,1.0,0.0,0.0,0.0,0.0
3,1.5,2240,7227,2.0,3,9.0,800,1977,0,1,0.0,0.0,0.0,1.0,0.0
4,1.75,2010,12044,1.0,3,9.0,0,1982,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2350,3800,2.0,3,8.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,1340,7200,1.5,4,7.0,0,1923,0,0,1.0,0.0,0.0,0.0,0.0
5,3.0,1940,6355,1.0,3,8.0,740,2007,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,3230,7187,2.0,3,9.0,0,2008,0,0,1.0,0.0,0.0,0.0,0.0
4,2.75,1670,6000,1.0,5,7.0,830,1917,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,2120,15003,2.0,3,7.0,0,1984,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,1790,10584,1.0,4,7.0,500,1981,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,1040,7405,1.0,4,6.0,0,1971,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1060,1536,2.0,3,8.0,0,2000,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2550,10355,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
4,3.5,3060,4777,2.0,3,9.0,0,2007,0,0,1.0,0.0,0.0,0.0,0.0
5,2.5,2600,4641,2.0,3,7.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
2,2.0,1470,2052,1.5,3,7.0,0,1986,0,0,1.0,0.0,0.0,0.0,0.0
4,1.75,1790,5341,1.0,4,7.0,740,1951,0,0,0.0,0.0,1.0,0.0,0.0
3,3.5,1810,1846,2.0,4,8.0,370,2009,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,2120,9804,2.0,3,7.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1940,217800,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2580,9450,1.0,4,8.0,920,1959,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,1050,6002,1.0,3,7.0,210,1941,0,0,0.0,0.0,1.0,0.0,0.0
2,1.75,1230,3600,1.5,5,7.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
4,3.5,4390,11600,2.0,3,11.0,1330,1990,0,3,0.0,0.0,0.0,1.0,0.0
4,2.5,3320,9380,2.0,3,10.0,0,1988,0,3,1.0,0.0,0.0,0.0,0.0
4,2.5,2390,9638,2.0,3,10.0,0,1988,0,0,1.0,0.0,0.0,0.0,0.0
4,2.75,1910,7700,1.0,4,7.0,910,1980,0,0,0.0,0.0,1.0,0.0,0.0
5,1.5,2830,4000,2.5,4,8.0,0,1918,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,2020,2750,2.0,3,8.0,340,2008,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2910,7287,2.0,3,8.0,0,1998,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,1460,7526,1.0,3,7.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
4,1.75,1830,9600,1.0,4,7.0,820,1966,0,0,0.0,0.0,1.0,0.0,0.0
4,1.75,1700,40973,1.0,3,8.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,1510,19874,1.0,3,7.0,0,1951,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,1180,6000,1.0,3,7.0,0,1910,0,0,1.0,0.0,0.0,0.0,0.0
7,3.0,5350,14400,2.5,4,10.0,330,1910,0,0,0.0,1.0,0.0,0.0,0.0
2,1.75,1960,30144,1.0,3,7.0,980,1957,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,1310,8400,1.0,3,7.0,0,1972,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,1960,8846,1.0,4,6.0,980,1940,0,3,0.0,0.0,1.0,0.0,0.0
4,2.5,2550,4770,2.0,3,8.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2150,10098,1.0,3,7.0,1060,1963,0,0,0.0,0.0,1.0,0.0,0.0
4,1.5,2993,19400,2.0,4,7.0,760,1921,0,0,0.0,0.0,1.0,0.0,0.0
5,2.75,1940,4182,1.0,3,7.0,700,2002,0,0,0.0,0.0,1.0,0.0,0.0
4,3.25,2110,3000,2.0,3,8.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2700,5150,2.0,3,9.0,0,2007,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,4200,35267,2.0,3,11.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1430,9150,1.0,3,7.0,360,1984,0,0,0.0,0.0,1.0,0.0,0.0
4,3.75,3280,11000,2.0,3,10.0,960,2008,0,0,0.0,0.0,0.0,1.0,0.0
4,1.75,2700,6000,1.0,4,8.0,1250,1953,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2230,26989,1.0,4,8.0,830,1962,0,1,0.0,0.0,1.0,0.0,0.0
3,1.5,2605,12030,1.0,3,8.0,1250,2003,0,0,0.0,0.0,1.0,0.0,0.0
3,1.75,1150,6423,1.0,3,7.60247802734375,560,1927,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2495,5751,2.0,3,7.0,0,2002,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1860,1558,3.0,3,8.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2740,43101,2.0,3,9.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2500,206474,1.0,3,10.0,0,1997,0,0,1.0,0.0,0.0,0.0,0.0
5,2.75,3230,13572,1.0,3,8.0,1350,1965,0,2,0.0,0.0,1.0,0.0,0.0
5,1.75,1680,8400,1.0,4,7.0,0,1979,0,0,1.0,0.0,0.0,0.0,0.0
5,3.5,2980,5100,2.0,3,10.0,610,2015,0,0,0.0,0.0,0.0,1.0,0.0
3,2.5,2620,8950,2.0,3,9.0,0,1992,0,0,1.0,0.0,0.0,0.0,0.0
5,2.5,2380,91476,1.0,4,8.0,800,1976,0,0,0.0,0.0,1.0,0.0,0.0
4,1.0,1590,4280,1.5,3,7.0,0,1924,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,1660,15050,1.0,3,7.0,400,1983,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2290,3777,2.0,3,7.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1500,13430,1.0,3,7.0,0,1977,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1280,10016,1.0,4,7.0,0,1975,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,2520,6690,2.0,5,8.0,820,1944,0,2,0.0,0.0,1.0,0.0,0.0
2,1.0,1770,5522,1.5,4,7.0,810,1943,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,890,5200,1.0,3,7.0,0,1957,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,2130,8801,1.0,3,8.0,760,1976,0,0,0.0,0.0,1.0,0.0,0.0
4,3.5,3420,4751,2.0,3,10.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,1200,9087,1.0,5,7.0,0,1969,0,0,1.0,0.0,0.0,0.0,0.0
4,3.0,3000,4000,1.5,3,8.0,1030,1913,0,3,0.0,0.0,1.0,0.0,0.0
4,3.0,2940,5763,1.0,5,8.0,1300,1955,0,0,0.0,0.0,1.0,0.0,0.0
3,1.75,1430,39160,1.0,3,7.0,530,1925,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,1960,7000,1.0,3,8.0,360,1980,0,0,0.0,0.0,1.0,0.0,0.0
3,0.75,1270,10092,1.0,5,7.0,0,1971,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2050,8683,2.0,3,8.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,750,6720,1.0,3,6.0,0,1916,0,0,1.0,0.0,0.0,0.0,0.0
2,1.5,1540,6549,2.0,3,7.0,0,1980,0,0,1.0,0.0,0.0,0.0,0.0
1,1.0,710,4725,1.0,3,6.0,0,1939,0,0,0.0,0.0,0.0,0.0,1.0
3,1.75,1430,7700,1.0,4,7.0,450,1981,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,1330,1198,2.0,3,8.0,250,2007,0,0,0.0,0.0,1.0,0.0,0.0
2,1.0,1190,27007,1.0,4,5.0,0,1910,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2660,40312,2.0,4,8.0,0,1977,0,0,1.0,0.0,0.0,0.0,0.0
2,2.25,1330,10838,2.0,3,8.0,0,1985,0,0,1.0,0.0,0.0,0.0,0.0
3,2.75,2390,9966,1.0,5,8.0,1030,1977,0,0,0.0,0.0,1.0,0.0,0.0
5,2.75,2470,19200,1.0,5,8.0,1220,1977,0,0,0.0,0.0,1.0,0.0,0.0
3,2.0,1640,7333,1.0,4,7.0,620,1941,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,2520,212137,2.0,3,9.0,930,2005,0,0,0.0,0.0,0.0,1.0,0.0
3,2.0,1553,6550,1.0,3,7.0,0,1900,0,0,1.0,0.0,0.0,0.0,0.0
5,2.75,2410,5003,1.0,3,7.0,1000,2008,0,0,0.0,0.0,1.0,0.0,0.0
3,3.0,2260,1834,2.0,3,8.0,600,2002,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,2100,3125,2.0,3,7.0,700,1907,0,2,0.0,0.0,1.0,0.0,0.0
2,1.0,800,5000,1.0,3,7.0,0,1906,0,0,1.0,0.0,0.0,0.0,0.0
4,2.0,1560,5220,1.0,3,7.0,0,1959,0,0,1.0,0.0,0.0,0.0,0.0
4,3.0,2440,3600,1.5,5,8.0,960,1929,0,0,0.0,0.0,1.0,0.0,0.0
3,2.5,2760,35171,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
4,2.0,2180,8800,1.0,5,7.0,1010,1977,0,0,0.0,0.0,1.0,0.0,0.0
3,1.0,1640,9750,1.0,3,7.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
3,2.0,2710,5000,2.0,3,6.0,0,1951,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2170,9798,2.0,3,7.0,0,1995,0,0,1.0,0.0,0.0,0.0,0.0
4,2.0,1710,4178,1.5,4,8.0,0,1926,0,0,1.0,0.0,0.0,0.0,0.0
2,1.75,1400,2500,1.0,5,7.0,690,1916,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,1510,6000,1.0,4,7.0,360,1993,0,0,0.0,0.0,1.0,0.0,0.0
3,2.75,2216,31215,1.0,3,9.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2020,4845,2.0,3,7.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
4,1.75,2740,8520,1.0,3,8.0,1370,1954,0,2,0.0,0.0,1.0,0.0,0.0
3,2.5,1790,11542,1.0,5,7.0,600,1969,0,0,0.0,0.0,1.0,0.0,0.0
4,2.0,3380,90968,1.0,4,9.0,1690,1979,0,0,0.0,0.0,0.0,1.0,0.0
2,1.5,1710,4189,1.0,5,7.0,550,1951,0,1,0.0,0.0,1.0,0.0,0.0
3,1.5,1200,4800,1.0,4,7.0,0,1962,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,1650,9780,1.0,3,7.0,700,1943,0,0,0.0,0.0,1.0,0.0,0.0
2,1.0,960,4080,1.0,5,7.0,0,1911,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,2170,9600,1.0,3,7.0,710,1980,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,1940,11612,1.0,4,8.0,840,1981,0,0,0.0,0.0,1.0,0.0,0.0
3,2.5,2620,21587,2.0,3,7.0,0,1992,0,0,1.0,0.0,0.0,0.0,0.0
4,2.5,3220,20251,1.0,3,10.0,0,1969,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,2400,7478,2.0,3,9.0,0,2002,0,0,1.0,0.0,0.0,0.0,0.0
3,2.75,2640,4050,1.5,5,8.0,890,1926,0,0,0.0,0.0,1.0,0.0,0.0
4,2.0,1830,21183,1.0,4,7.0,770,1966,0,0,0.0,0.0,1.0,0.0,0.0
4,3.5,3350,3752,2.0,3,9.0,800,2007,0,0,0.0,0.0,0.0,1.0,0.0
4,2.25,2260,41984,1.0,4,9.0,0,1967,0,0,1.0,0.0,0.0,0.0,0.0
3,2.25,1780,8784,1.0,3,7.0,550,1977,0,0,0.0,0.0,1.0,0.0,0.0
4,2.0,1800,5465,1.0,3,7.0,900,1942,0,0,0.0,0.0,1.0,0.0,0.0
3,2.25,1760,1146,3.0,3,9.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
4,1.0,1440,6678,1.0,3,7.0,400,1950,0,0,0.0,0.0,1.0,0.0,0.0
4,2.5,1770,13168,2.0,3,7.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
3,2.75,2770,54707,1.5,3,8.0,400,1938,0,0,0.0,0.0,1.0,0.0,0.0
5,3.75,2980,4635,3.0,3,8.0,0,1997,0,0,1.0,0.0,0.0,0.0,0.0
3,2.75,2950,6667,2.0,3,9.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
2,1.0,830,2699,1.0,3,7.0,0,1996,0,0,1.0,0.0,0.0,0.0,0.0
5,2.5,2200,4942,2.0,3,8.0,0,1989,0,0,1.0,0.0,0.0,0.0,0.0
3,1.5,1770,30689,1.0,3,9.0,0,1953,0,4,1.0,0.0,0.0,0.0,0.0
4,2.5,2430,6766,2.0,3,8.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
3,1.75,1300,8800,1.0,4,8.0,0,1963,0,0,1.0,0.0,0.0,0.0,0.0
3,2.5,1440,7741,1.0,4,7.0,440,1983,0,0,0.0,0.0,1.0,0.0,0.0
5,3.5,5470,35071,2.0,3,11.0,880,1976,0,0,0.0,0.0,0.0,1.0,0.0
2,1.0,1090,10481,1.0,2,7.0,310,1981,0,0,0.0,0.0,1.0,0.0,0.0
3,2.0,2660,5000,1.5,3,8.0,720,1910,0,3,0.0,0.0,1.0,0.0,0.0
