old_index,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_basement,yr_built,waterfront_encoded,view_encoded,property_typ_apartment,property_typ_multi_generation_house,property_typ_semi_detached_house,property_typ_single_family_house,property_typ_top_floor_apartment
69,1325000,5,2.25,3200,20158,1.0,3,8.0,1600,1965,0,0,0.0,0.0,1.0,0.0,0.0
71,325000,3,2.0,1260,5612,1.0,4,7.0,0,1972,0,0,1.0,0.0,0.0,0.0,0.0
72,571000,4,2.0,2750,7807,1.5,5,7.0,500,1916,0,0,0.0,0.0,1.0,0.0,0.0
73,360000,4,2.5,2380,5000,2.0,3,8.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
74,349000,3,1.75,1790,50529,1.0,5,7.0,700,1965,0,0,0.0,0.0,1.0,0.0,0.0
75,832500,4,4.0,3430,35102,2.0,4,10.0,1040,1986,0,0,0.0,0.0,0.0,1.0,0.0
76,380000,4,1.75,1760,7300,1.0,3,7.0,880,1956,0,0,0.0,0.0,1.0,0.0,0.0
77,480000,3,1.0,1040,5060,1.0,3,7.0,0,1941,0,0,1.0,0.0,0.0,0.0,0.0
78,410000,3,1.0,1410,5060,1.0,4,7.0,500,1956,0,0,0.0,0.0,1.0,0.0,0.0
79,720000,4,2.5,3450,39683,2.0,3,10.0,0,2002,0,0,1.0,0.0,0.0,0.0,0.0
80,390000,3,2.5,2350,5100,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
81,360000,4,2.5,1900,5889,2.0,3,7.0,0,1992,0,0,1.0,0.0,0.0,0.0,0.0
82,355000,2,1.0,2020,6720,1.0,3,7.0,1010,1948,0,0,0.0,0.0,1.0,0.0,0.0
83,356000,3,1.5,1680,8712,1.0,3,8.0,0,1964,0,0,1.0,0.0,0.0,0.0,0.0
84,315000,3,1.0,960,6634,1.0,3,6.0,0,1952,0,0,1.0,0.0,0.0,0.0,0.0
85,940000,3,1.5,2140,3600,2.0,3,9.0,240,1925,0,0,0.0,0.0,0.0,1.0,0.0
86,305000,5,2.25,2660,8400,1.5,5,7.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
87,461000,3,3.25,2770,6278,2.0,3,9.0,790,2006,0,0,0.0,0.0,0.0,1.0,0.0
88,215000,2,2.25,1610,2040,2.0,4,7.0,0,1979,0,0,1.0,0.0,0.0,0.0,0.0
89,335000,2,1.75,1030,1066,2.0,3,7.0,265,2006,0,0,0.0,0.0,1.0,0.0,0.0
90,243500,4,2.5,1980,7403,2.0,3,7.0,0,1988,0,0,1.0,0.0,0.0,0.0,0.0
91,1099880,5,2.75,3520,6353,2.0,4,10.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
92,153000,3,1.0,1200,10500,1.0,3,7.0,0,1962,0,0,1.0,0.0,0.0,0.0,0.0
93,430000,3,1.5,1580,5000,1.0,3,8.0,290,1939,0,0,0.0,0.0,1.0,0.0,0.0
94,700000,3,1.5,1580,5000,1.0,3,8.0,290,1939,0,0,0.0,0.0,1.0,0.0,0.0
95,905000,4,2.5,3300,10250,1.0,3,7.0,910,1946,0,0,0.0,0.0,1.0,0.0,0.0
96,247500,3,1.75,1960,15681,1.0,3,7.0,0,1967,0,0,1.0,0.0,0.0,0.0,0.0
97,199000,4,1.5,1160,6400,1.0,4,7.0,0,1975,0,0,1.0,0.0,0.0,0.0,0.0
98,314000,3,1.75,1810,41800,1.0,5,7.0,600,1980,0,0,0.0,0.0,1.0,0.0,0.0
99,437500,3,2.5,2320,36847,2.0,3,9.0,0,1992,0,2,1.0,0.0,0.0,0.0,0.0
100,850830,3,2.5,2070,13241,1.5,5,9.0,800,1910,0,0,0.0,0.0,0.0,1.0,0.0
101,555000,3,2.0,1980,3478,1.5,4,7.0,540,1929,0,0,0.0,0.0,1.0,0.0,0.0
102,699950,3,2.25,2190,107593,2.0,4,8.0,0,1983,0,0,1.0,0.0,0.0,0.0,0.0
103,1088000,3,2.5,2920,8113,2.0,3,7.577170971709717,0,1950,0,0,1.0,0.0,0.0,0.0,0.0
104,290000,3,1.0,1210,33919,1.0,3,7.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
105,375000,3,2.5,2340,10005,1.0,4,8.0,880,1978,0,0,0.0,0.0,1.0,0.0,0.0
106,460000,3,1.0,1670,4005,1.5,4,7.0,500,1939,0,0,0.0,0.0,1.0,0.0,0.0
107,188500,2,1.75,1240,2493,1.0,4,8.0,0,1985,0,0,1.0,0.0,0.0,0.0,0.0
108,680000,4,2.5,3140,28037,2.0,4,10.0,0,1991,0,0,1.0,0.0,0.0,0.0,0.0
109,470000,5,1.75,2030,12342,2.0,4,7.0,0,1942,0,0,1.0,0.0,0.0,0.0,0.0
110,597750,4,2.5,2310,9624,2.0,3,8.0,0,1984,0,0,1.0,0.0,0.0,0.0,0.0
111,570000,3,1.75,1260,3328,1.0,5,6.0,560,1905,0,0,0.0,0.0,1.0,0.0,0.0
112,272500,3,1.75,1540,12600,1.0,4,7.0,380,1980,0,0,0.0,0.0,1.0,0.0,0.0
113,329950,3,1.75,2080,5969,1.0,3,7.0,1000,1971,0,2,0.0,0.0,1.0,0.0,0.0
114,480000,4,2.5,3230,16171,2.0,3,9.0,710,2001,0,3,0.0,0.0,0.0,1.0,0.0
115,740500,3,3.5,4380,6350,2.0,3,8.0,1600,1900,0,0,0.0,0.0,1.0,0.0,0.0
116,518500,3,3.5,1590,1102,3.0,3,8.0,0,2010,0,0,1.0,0.0,0.0,0.0,0.0
117,205425,2,1.0,880,6780,1.0,4,6.0,0,1945,0,0,1.0,0.0,0.0,0.0,0.0
118,171800,4,2.0,1570,9600,1.0,3,6.0,0,1950,0,0,1.0,0.0,0.0,0.0,0.0
119,535000,4,1.0,1610,2982,1.5,4,7.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
120,660000,3,2.5,2400,6474,1.0,3,8.0,840,1964,0,2,0.0,0.0,1.0,0.0,0.0
121,391500,3,2.0,1450,9132,1.0,3,7.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
122,395000,2,1.0,770,6000,1.0,3,6.0,0,1953,0,0,1.0,0.0,0.0,0.0,0.0
123,445000,4,1.75,2100,4400,1.5,5,7.0,380,1924,0,0,0.0,0.0,1.0,0.0,0.0
124,770000,3,2.25,2910,10204,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
125,1450000,4,2.75,2750,17789,1.5,3,8.0,770,1914,0,0,0.0,0.0,1.0,0.0,0.0
126,445000,3,2.25,2100,8201,1.0,3,8.0,480,1967,0,2,0.0,0.0,1.0,0.0,0.0
127,260000,4,2.25,2160,8811,1.0,3,8.0,800,1978,0,0,0.0,0.0,1.0,0.0,0.0
128,822500,5,3.5,2320,4960,2.0,5,7.0,600,1926,0,0,0.0,0.0,1.0,0.0,0.0
129,430000,4,2.5,2070,4310,2.0,3,7.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
130,212000,3,1.75,1060,7875,1.0,4,7.0,0,1986,0,0,1.0,0.0,0.0,0.0,0.0
131,660500,4,2.25,2010,9603,1.0,3,8.0,570,1986,0,0,0.0,0.0,1.0,0.0,0.0
132,784000,3,3.5,3950,111078,1.5,3,9.0,1490,1989,0,0,0.0,0.0,0.0,1.0,0.0
133,453246,3,2.5,2010,2287,2.0,3,8.0,620,2014,0,0,0.0,0.0,1.0,0.0,0.0
134,675000,4,3.5,2140,2278,3.0,3,9.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
135,199000,3,1.75,1320,17390,1.0,4,7.0,0,1956,0,0,1.0,0.0,0.0,0.0,0.0
136,220000,4,1.75,2020,7840,1.0,3,7.0,1010,1968,0,0,0.0,0.0,1.0,0.0,0.0
137,452000,4,2.25,2590,10002,1.0,4,8.0,1250,1968,0,0,0.0,0.0,1.0,0.0,0.0
138,382500,2,1.0,1190,4440,1.0,3,6.0,0,1981,0,0,1.0,0.0,0.0,0.0,0.0
139,519950,3,2.25,1170,1249,3.0,3,8.0,0,2014,0,0,1.0,0.0,0.0,0.0,0.0
140,665000,2,1.0,1110,3200,1.0,3,7.0,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
141,527700,5,2.5,2820,9375,1.0,4,8.0,1270,1968,0,0,0.0,0.0,1.0,0.0,0.0
142,205000,3,1.0,1610,8579,1.0,4,7.0,600,1962,0,0,0.0,0.0,1.0,0.0,0.0
143,420000,3,1.0,1060,8097,1.0,4,7.0,120,1923,0,0,0.0,0.0,1.0,0.0,0.0
144,500000,4,2.25,2030,8517,1.0,4,8.0,650,1961,0,0,0.0,0.0,1.0,0.0,0.0
146,890000,4,1.0,2550,4000,2.0,3,8.0,180,1905,0,0,0.0,0.0,1.0,0.0,0.0
147,430000,2,2.5,2420,60984,2.0,3,7.0,0,2007,0,0,1.0,0.0,0.0,0.0,0.0
148,258000,5,2.0,2260,12500,1.0,4,8.0,1130,1960,0,0,0.0,0.0,1.0,0.0,0.0
149,511000,3,1.0,1430,3455,1.0,3,7.0,450,1947,0,0,0.0,0.0,1.0,0.0,0.0
150,532170,3,2.0,1360,3090,2.0,3,8.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
151,560000,3,1.0,1110,5000,1.5,3,7.0,0,1947,0,0,1.0,0.0,0.0,0.0,0.0
152,282950,3,1.0,1250,8200,1.0,4,7.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
154,350000,1,1.0,700,5100,1.0,3,7.0,0,1942,0,0,0.0,0.0,0.0,0.0,1.0
155,215000,3,1.0,1180,7669,1.0,4,7.0,0,1967,0,0,1.0,0.0,0.0,0.0,0.0
156,650000,5,3.5,3960,25245,2.0,3,9.0,1460,1996,0,0,0.0,0.0,0.0,1.0,0.0
157,320000,4,2.75,2640,7500,1.0,3,8.0,1020,1967,0,0,0.0,0.0,1.0,0.0,0.0
158,247000,3,2.0,1270,7198,1.5,3,7.0,0,1916,0,0,1.0,0.0,0.0,0.0,0.0
159,320000,4,1.75,1760,11180,1.0,4,8.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
160,255000,5,2.25,2060,8632,1.0,3,7.0,1030,1962,0,0,0.0,0.0,1.0,0.0,0.0
161,438000,3,1.75,1780,9660,1.0,3,7.0,0,1962,0,0,1.0,0.0,0.0,0.0,0.0
162,900000,3,2.5,3400,16603,2.0,3,10.0,0,2000,0,0,1.0,0.0,0.0,0.0,0.0
163,441000,3,2.75,1910,7280,1.0,3,7.0,750,1979,0,0,0.0,0.0,1.0,0.0,0.0
164,420000,3,2.0,2020,38332,1.0,4,7.0,1010,1975,0,0,0.0,0.0,1.0,0.0,0.0
165,370000,3,1.75,1580,7000,1.0,3,7.0,400,1976,0,0,0.0,0.0,1.0,0.0,0.0
166,269950,2,1.75,1340,7250,1.0,5,5.0,640,1949,0,0,0.0,0.0,1.0,0.0,0.0
167,807100,4,2.5,2680,4499,2.0,3,9.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
168,653000,3,2.5,2680,9750,1.0,4,8.0,1070,1979,0,0,0.0,0.0,1.0,0.0,0.0
169,371500,3,2.0,1370,8336,1.0,5,7.0,0,1964,0,0,1.0,0.0,0.0,0.0,0.0
170,284000,3,1.75,1560,21000,1.0,3,7.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
171,272000,3,1.75,2160,7140,1.0,4,7.0,490,1978,0,0,0.0,0.0,1.0,0.0,0.0
172,313000,3,1.5,1340,7912,1.5,3,7.0,0,1955,0,0,1.0,0.0,0.0,0.0,0.0
173,917500,4,2.5,3880,35003,2.0,3,10.0,1310,1984,0,0,0.0,0.0,0.0,1.0,0.0
174,673000,4,2.25,2590,8190,2.0,4,8.0,0,1980,0,0,1.0,0.0,0.0,0.0,0.0
175,425000,3,2.5,1120,1100,2.0,3,8.0,300,2008,0,0,0.0,0.0,1.0,0.0,0.0
176,399950,5,2.75,1970,5400,1.0,3,7.0,650,1986,0,0,0.0,0.0,1.0,0.0,0.0
177,385000,3,1.0,1220,4800,1.0,3,6.0,0,1901,0,0,1.0,0.0,0.0,0.0,0.0
178,269950,3,1.5,1950,7560,1.0,4,7.0,630,1975,0,2,0.0,0.0,1.0,0.0,0.0
179,330000,2,1.0,1350,8220,1.0,3,7.0,290,1949,0,0,0.0,0.0,1.0,0.0,0.0
180,260000,3,2.5,1670,5797,2.0,3,7.0,0,1988,0,0,1.0,0.0,0.0,0.0,0.0
181,470000,4,3.0,2380,5125,1.5,4,7.0,700,1925,0,0,0.0,0.0,1.0,0.0,0.0
182,589000,4,3.0,2440,9600,2.0,5,7.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
183,163500,2,1.5,1050,3419,2.0,3,7.0,0,1996,0,0,1.0,0.0,0.0,0.0,0.0
184,835000,4,2.75,3130,13412,2.0,3,9.0,990,1993,0,0,0.0,0.0,0.0,1.0,0.0
186,269000,4,1.75,1490,10000,1.0,4,8.0,390,1969,0,0,0.0,0.0,1.0,0.0,0.0
187,560000,3,2.5,1900,8744,2.0,3,8.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
188,615000,4,1.0,1330,2400,1.5,4,6.0,0,1901,0,0,1.0,0.0,0.0,0.0,0.0
189,585188,3,2.25,2230,10026,1.0,3,8.0,800,1975,0,0,0.0,0.0,1.0,0.0,0.0
190,305000,3,1.75,1650,9480,1.0,3,7.0,430,1977,0,0,0.0,0.0,1.0,0.0,0.0
191,166950,3,1.0,1190,8820,1.0,3,6.0,0,1959,0,0,1.0,0.0,0.0,0.0,0.0
192,799000,3,2.5,2140,9897,1.0,4,8.0,0,1959,0,0,1.0,0.0,0.0,0.0,0.0
193,400000,3,2.5,2180,7508,1.0,4,7.0,760,1962,0,0,0.0,0.0,1.0,0.0,0.0
194,230000,3,1.0,1060,10228,1.0,3,7.0,0,1948,0,0,1.0,0.0,0.0,0.0,0.0
195,256883,3,2.5,1690,5025,2.0,3,8.0,0,2003,0,0,1.0,0.0,0.0,0.0,0.0
196,423000,4,2.0,1970,6480,1.5,5,7.0,840,1920,0,0,0.0,0.0,1.0,0.0,0.0
197,465000,3,2.5,2150,4084,2.0,3,8.0,0,2007,0,0,1.0,0.0,0.0,0.0,0.0
198,440000,3,2.5,1910,66211,2.0,3,7.0,0,1997,0,0,1.0,0.0,0.0,0.0,0.0
200,210000,3,1.0,860,11725,1.0,4,6.0,0,1943,0,0,1.0,0.0,0.0,0.0,0.0
201,297000,3,2.5,1940,14952,2.0,3,8.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
202,470000,3,1.0,1010,5000,1.0,3,7.0,0,1952,0,0,1.0,0.0,0.0,0.0,0.0
203,226500,3,1.5,1300,7370,1.0,4,7.0,400,1976,0,0,0.0,0.0,1.0,0.0,0.0
204,274250,3,1.0,910,8450,1.0,4,6.0,0,1962,0,0,1.0,0.0,0.0,0.0,0.0
205,840000,4,1.75,2480,11010,1.0,4,9.0,850,1966,0,0,0.0,0.0,0.0,1.0,0.0
206,677900,3,2.5,2440,4587,2.0,3,8.0,0,2010,0,0,1.0,0.0,0.0,0.0,0.0
207,425000,3,1.0,1010,5864,1.0,3,7.0,0,1915,0,0,1.0,0.0,0.0,0.0,0.0
208,180250,2,0.75,900,9600,1.0,3,6.0,0,1941,0,0,1.0,0.0,0.0,0.0,0.0
209,464000,6,3.0,2300,3404,2.0,3,7.0,700,1920,0,0,0.0,1.0,0.0,0.0,0.0
210,320000,4,2.25,1550,7579,2.0,3,8.0,0,1993,0,0,1.0,0.0,0.0,0.0,0.0
211,625504,3,2.25,1270,1566,2.0,3,8.0,210,2014,0,0,0.0,0.0,1.0,0.0,0.0
212,592500,4,2.5,2240,12032,1.0,3,9.0,0,1983,0,0,1.0,0.0,0.0,0.0,0.0
213,465000,3,2.5,2714,17936,2.0,3,9.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
214,477000,4,2.75,1720,6270,2.0,3,8.0,0,1978,0,0,1.0,0.0,0.0,0.0,0.0
215,280000,2,1.0,850,16400,1.0,3,6.0,0,1923,0,0,1.0,0.0,0.0,0.0,0.0
216,1505000,5,3.0,3300,33474,1.0,3,9.0,1430,1957,0,3,0.0,0.0,0.0,1.0,0.0
217,445838,3,2.5,2250,5692,2.0,3,8.0,0,2000,0,0,1.0,0.0,0.0,0.0,0.0
219,467000,2,1.5,1320,10800,1.0,4,8.0,0,1947,0,0,1.0,0.0,0.0,0.0,0.0
220,686000,4,2.5,2760,6440,2.0,3,10.0,0,1999,0,0,1.0,0.0,0.0,0.0,0.0
221,279950,3,2.0,1750,9750,1.0,3,7.0,400,1961,0,0,0.0,0.0,1.0,0.0,0.0
222,527000,4,2.25,2330,19436,2.0,3,8.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
223,325000,3,2.25,2220,16020,1.0,4,8.0,440,1966,0,0,0.0,0.0,1.0,0.0,0.0
224,328000,3,2.25,2020,8379,2.0,3,7.0,0,1994,0,0,1.0,0.0,0.0,0.0,0.0
225,390000,3,2.25,1250,7500,1.0,5,7.0,0,1942,0,0,1.0,0.0,0.0,0.0,0.0
226,479950,2,2.0,1510,6516,1.0,3,8.0,0,2005,0,0,1.0,0.0,0.0,0.0,0.0
227,264950,4,2.25,1720,9753,1.0,4,7.0,600,1978,0,0,0.0,0.0,1.0,0.0,0.0
228,235000,3,1.0,1430,15246,1.0,4,7.0,450,1961,0,0,0.0,0.0,1.0,0.0,0.0
229,516500,3,2.5,1480,4729,2.0,3,7.0,0,2004,0,0,1.0,0.0,0.0,0.0,0.0
230,655000,2,1.75,1450,15798,2.0,3,7.0,220,1915,1,4,0.0,0.0,1.0,0.0,0.0
231,500000,4,2.75,2280,15347,1.0,5,7.0,0,1960,0,0,1.0,0.0,0.0,0.0,0.0
232,315000,6,2.75,2940,7350,1.0,3,8.0,1160,1978,0,0,0.0,1.0,0.0,0.0,0.0
233,213000,2,1.0,1000,10200,1.0,3,6.0,0,1961,0,0,1.0,0.0,0.0,0.0,0.0
234,475000,3,1.5,2480,5280,1.5,5,7.0,860,1947,0,0,0.0,0.0,1.0,0.0,0.0
235,1025000,5,4.0,3760,28040,2.0,3,10.0,0,1983,0,0,1.0,0.0,0.0,0.0,0.0
236,416000,3,2.0,2220,94300,1.0,5,7.0,580,1976,0,0,0.0,0.0,1.0,0.0,0.0
237,410000,4,1.0,1970,4740,1.5,3,7.0,300,1904,0,0,0.0,0.0,1.0,0.0,0.0
240,225000,3,1.75,1430,8505,1.0,4,7.0,0,1968,0,0,1.0,0.0,0.0,0.0,0.0
241,210000,2,1.0,830,6000,1.0,3,6.0,0,1940,0,0,1.0,0.0,0.0,0.0,0.0
242,455000,2,1.0,1430,5000,1.5,2,7.577170971709717,0,1925,0,0,1.0,0.0,0.0,0.0,0.0
243,225000,3,1.0,1300,8316,1.0,4,6.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
244,480000,2,1.0,1030,3060,1.0,4,7.0,240,1918,0,2,0.0,0.0,1.0,0.0,0.0
245,363000,3,2.5,2740,11872,2.0,3,9.0,0,1990,0,0,1.0,0.0,0.0,0.0,0.0
247,181000,2,1.5,720,5120,1.0,3,6.0,0,1954,0,0,1.0,0.0,0.0,0.0,0.0
248,250000,4,2.0,2010,7312,1.0,4,7.0,0,1976,0,0,1.0,0.0,0.0,0.0,0.0
249,481000,3,1.75,1560,3000,1.0,4,6.0,790,1918,0,0,0.0,0.0,1.0,0.0,0.0
250,260000,3,2.0,1810,7209,1.0,4,7.0,570,1978,0,0,0.0,0.0,1.0,0.0,0.0
251,455000,4,2.5,3360,7685,2.0,3,9.0,0,2001,0,0,1.0,0.0,0.0,0.0,0.0
252,415000,3,2.25,1510,36224,2.0,3,8.0,0,1991,0,0,1.0,0.0,0.0,0.0,0.0
253,349500,3,1.0,1400,3538,1.0,3,7.0,600,1953,0,0,0.0,0.0,1.0,0.0,0.0
254,245000,3,2.5,1730,7442,2.0,3,7.0,0,1987,0,0,1.0,0.0,0.0,0.0,0.0
255,592500,2,2.0,1420,9191,1.5,5,7.0,0,1928,0,2,1.0,0.0,0.0,0.0,0.0
256,385000,4,1.75,2360,7620,1.0,4,7.0,1180,1955,0,0,0.0,0.0,1.0,0.0,0.0
257,315000,3,1.75,1580,11455,1.0,4,7.0,380,1974,0,0,0.0,0.0,1.0,0.0,0.0
